1 1 1024
x y
-5 0.0
-4.990234375 0.0
-4.98046875 0.0
-4.970703125 0.0
-4.9609375 0.0
-4.951171875 0.0
-4.94140625 0.0
-4.931640625 0.0
-4.921875 0.0
-4.912109375 0.0
-4.90234375 0.0
-4.892578125 0.0
-4.8828125 0.0
-4.873046875 0.0
-4.86328125 0.0
-4.853515625 0.0
-4.84375 0.0
-4.833984375 0.0
-4.82421875 0.0
-4.814453125 0.0
-4.8046875 0.0
-4.794921875 0.0
-4.78515625 0.0
-4.775390625 0.0
-4.765625 0.0
-4.755859375 0.0
-4.74609375 0.0
-4.736328125 0.0
-4.7265625 0.0
-4.716796875 0.0
-4.70703125 0.0
-4.697265625 0.0
-4.6875 0.0
-4.677734375 0.0
-4.66796875 0.0
-4.658203125 0.0
-4.6484375 0.0
-4.638671875 0.0
-4.62890625 0.0
-4.619140625 0.0
-4.609375 0.0
-4.599609375 0.0
-4.58984375 0.0
-4.580078125 0.0
-4.5703125 0.0
-4.560546875 0.0
-4.55078125 0.0
-4.541015625 0.0
-4.53125 0.0
-4.521484375 0.0
-4.51171875 0.0
-4.501953125 0.0
-4.4921875 0.0
-4.482421875 0.0
-4.47265625 0.0
-4.462890625 0.0
-4.453125 0.0
-4.443359375 0.0
-4.43359375 0.0
-4.423828125 0.0
-4.4140625 0.0
-4.404296875 0.0
-4.39453125 0.0
-4.384765625 0.0
-4.375 0.0
-4.365234375 0.0
-4.35546875 0.0
-4.345703125 0.0
-4.3359375 0.0
-4.326171875 0.0
-4.31640625 0.0
-4.306640625 0.0
-4.296875 0.0
-4.287109375 0.0
-4.27734375 0.0
-4.267578125 0.0
-4.2578125 0.0
-4.248046875 0.0
-4.23828125 0.0
-4.228515625 0.0
-4.21875 0.0
-4.208984375 0.0
-4.19921875 0.0
-4.189453125 0.0
-4.1796875 0.0
-4.169921875 0.0
-4.16015625 0.0
-4.150390625 0.0
-4.140625 0.0
-4.130859375 0.0
-4.12109375 0.0
-4.111328125 0.0
-4.1015625 0.0
-4.091796875 0.0
-4.08203125 0.0
-4.072265625 0.0
-4.0625 0.0
-4.052734375 0.0
-4.04296875 0.0
-4.033203125 0.0
-4.0234375 0.0
-4.013671875 0.0
-4.00390625 0.0
-3.994140625 0.0
-3.984375 0.0
-3.974609375 0.0
-3.96484375 0.0
-3.955078125 0.0
-3.9453125 0.0
-3.935546875 0.0
-3.92578125 0.0
-3.916015625 0.0
-3.90625 0.0
-3.896484375 0.0
-3.88671875 0.0
-3.876953125 0.0
-3.8671875 0.0
-3.857421875 0.0
-3.84765625 0.0
-3.837890625 0.0
-3.828125 0.0
-3.818359375 0.0
-3.80859375 0.0
-3.798828125 0.0
-3.7890625 0.0
-3.779296875 0.0
-3.76953125 0.0
-3.759765625 0.0
-3.75 0.0
-3.740234375 0.0
-3.73046875 0.0
-3.720703125 0.0
-3.7109375 0.0
-3.701171875 0.0
-3.69140625 0.0
-3.681640625 0.0
-3.671875 0.0
-3.662109375 0.0
-3.65234375 0.0
-3.642578125 0.0
-3.6328125 0.0
-3.623046875 0.0
-3.61328125 0.0
-3.603515625 0.0
-3.59375 0.0
-3.583984375 0.0
-3.57421875 0.0
-3.564453125 0.0
-3.5546875 0.0
-3.544921875 0.0
-3.53515625 0.0
-3.525390625 0.0
-3.515625 0.0
-3.505859375 0.0
-3.49609375 0.0
-3.486328125 0.0
-3.4765625 0.0
-3.466796875 0.0
-3.45703125 0.0
-3.447265625 0.0
-3.4375 0.0
-3.427734375 0.0
-3.41796875 0.0
-3.408203125 0.0
-3.3984375 0.0
-3.388671875 0.0
-3.37890625 0.0
-3.369140625 0.0
-3.359375 0.0
-3.349609375 0.0
-3.33984375 0.0
-3.330078125 0.0
-3.3203125 0.0
-3.310546875 0.0
-3.30078125 0.0
-3.291015625 0.0
-3.28125 0.0
-3.271484375 0.0
-3.26171875 0.0
-3.251953125 0.0
-3.2421875 0.0
-3.232421875 0.0
-3.22265625 0.0
-3.212890625 0.0
-3.203125 0.0
-3.193359375 0.0
-3.18359375 0.0
-3.173828125 0.0
-3.1640625 0.0
-3.154296875 0.0
-3.14453125 0.0
-3.134765625 0.0
-3.125 0.0
-3.115234375 0.0
-3.10546875 0.0
-3.095703125 0.0
-3.0859375 0.0
-3.076171875 0.0
-3.06640625 0.0
-3.056640625 0.0
-3.046875 0.0
-3.037109375 0.0
-3.02734375 0.0
-3.017578125 0.0
-3.0078125 0.0
-2.998046875 0.0
-2.98828125 0.0
-2.978515625 0.0
-2.96875 0.0
-2.958984375 0.0
-2.94921875 0.0
-2.939453125 0.0
-2.9296875 0.0
-2.919921875 0.0
-2.91015625 0.0
-2.900390625 0.0
-2.890625 0.0
-2.880859375 0.0
