1 1 1024
x y
-5 736.5
-4.990234375 729.860511022
-4.98046875 723.262246857
-4.970703125 716.705043151
-4.9609375 710.188735878
-4.951171875 703.713161341
-4.94140625 697.278156169
-4.931640625 690.883557319
-4.921875 684.529202074
-4.912109375 678.214928046
-4.90234375 671.940573175
-4.892578125 665.705975726
-4.8828125 659.510974294
-4.873046875 653.355407799
-4.86328125 647.23911549
-4.853515625 641.161936944
-4.84375 635.123712063
-4.833984375 629.124281079
-4.82421875 623.163484549
-4.814453125 617.241163361
-4.8046875 611.357158726
-4.794921875 605.511312186
-4.78515625 599.703465607
-4.775390625 593.933461187
-4.765625 588.201141447
-4.755859375 582.506349238
-4.74609375 576.848927737
-4.736328125 571.228720449
-4.7265625 565.645571208
-4.716796875 560.099324172
-4.70703125 554.589823829
-4.697265625 549.116914995
-4.6875 543.68044281
-4.677734375 538.280252745
-4.66796875 532.916190597
-4.658203125 527.588102489
-4.6484375 522.295834875
-4.638671875 517.039234532
-4.62890625 511.818148569
-4.619140625 506.632424418
-4.609375 501.481909841
-4.599609375 496.366452928
-4.58984375 491.285902094
-4.580078125 486.240106084
-4.5703125 481.228913968
-4.560546875 476.252175146
-4.55078125 471.309739342
-4.541015625 466.401456611
-4.53125 461.527177334
-4.521484375 456.686752218
-4.51171875 451.880032299
-4.501953125 447.106868941
-4.4921875 442.367113834
-4.482421875 437.660618996
-4.47265625 432.987236772
-4.462890625 428.346819835
-4.453125 423.739221185
-4.443359375 419.164294151
-4.43359375 414.621892386
-4.423828125 410.111869873
-4.4140625 405.634080922
-4.404296875 401.188380171
-4.39453125 396.774622584
-4.384765625 392.392663453
-4.375 388.042358398
-4.365234375 383.723563366
-4.35546875 379.436134631
-4.345703125 375.179928795
-4.3359375 370.954802787
-4.326171875 366.760613864
-4.31640625 362.597219609
-4.306640625 358.464477935
-4.296875 354.36224708
-4.287109375 350.29038561
-4.27734375 346.248752419
-4.267578125 342.237206729
-4.2578125 338.255608087
-4.248046875 334.303816371
-4.23828125 330.381691782
-4.228515625 326.489094853
-4.21875 322.62588644
-4.208984375 318.791927731
-4.19921875 314.987080237
-4.189453125 311.2112058
-4.1796875 307.464166587
-4.169921875 303.745825094
-4.16015625 300.056044143
-4.150390625 296.394686885
-4.140625 292.761616796
-4.130859375 289.156697683
-4.12109375 285.579793677
-4.111328125 282.030769239
