1 1 1024
x y
-5 144.0
-4.990234375 141.72503131
-4.98046875 139.470370796
-4.970703125 137.235918201
-4.9609375 135.021573488
-4.951171875 132.827236838
-4.94140625 130.652808652
-4.931640625 128.498189545
-4.921875 126.363280356
-4.912109375 124.247982137
-4.90234375 122.152196162
-4.892578125 120.07582392
-4.8828125 118.018767122
-4.873046875 115.980927695
-4.86328125 113.962207783
-4.853515625 111.962509752
-4.84375 109.981736183
-4.833984375 108.019789877
-4.82421875 106.076573853
-4.814453125 104.151991347
-4.8046875 102.245945815
-4.794921875 100.358340931
-4.78515625 98.4890805858
-4.775390625 96.6380688904
-4.765625 94.8052101731
-4.755859375 92.9904089805
-4.74609375 91.1935700777
-4.736328125 89.4145984478
-4.7265625 87.6533992924
-4.716796875 85.9098780314
-4.70703125 84.1839403028
-4.697265625 82.4754919631
-4.6875 80.7844390869
-4.677734375 79.1106879672
-4.66796875 77.4541451151
-4.658203125 75.8147172602
-4.6484375 74.1923113503
-4.638671875 72.5868345513
-4.62890625 70.9981942477
-4.619140625 69.4262980421
-4.609375 67.8710537553
-4.599609375 66.3323694265
-4.58984375 64.8101533132
-4.580078125 63.3043138911
-4.5703125 61.8147598542
-4.560546875 60.3414001148
-4.55078125 58.8841438035
-4.541015625 57.4429002691
-4.53125 56.0175790787
-4.521484375 54.6080900177
-4.51171875 53.2143430898
-4.501953125 51.8362485171
-4.4921875 50.4737167396
-4.482421875 49.1266584159
-4.47265625 47.7949844229
-4.462890625 46.4786058555
-4.453125 45.1774340272
-4.443359375 43.8913804696
-4.43359375 42.6203569325
-4.423828125 41.3642753842
-4.4140625 40.1230480112
-4.404296875 38.8965872182
-4.39453125 37.6848056281
-4.384765625 36.4876160824
-4.375 35.3049316406
-4.365234375 34.1366655806
-4.35546875 32.9827313984
-4.345703125 31.8430428086
-4.3359375 30.7175137438
-4.326171875 29.606058355
-4.31640625 28.5085910114
-4.306640625 27.4250263006
-4.296875 26.3552790284
-4.287109375 25.2992642189
-4.27734375 24.2568971145
-4.267578125 23.2280931757
-4.2578125 22.2127680816
-4.248046875 21.2108377293
-4.23828125 20.2222182343
-4.228515625 19.2468259304
-4.21875 18.2845773697
-4.208984375 17.3353893224
-4.19921875 16.3991787771
-4.189453125 15.4758629408
-4.1796875 14.5653592385
-4.169921875 13.6675853138
-4.16015625 12.7824590283
-4.150390625 11.909898462
-4.140625 11.0498219132
-4.130859375 10.2021478985
-4.12109375 9.36679515266
-4.111328125 8.54368262879
-4.1015625 7.7327294983
-4.091796875 6.93385515084
-4.08203125 6.14697919437
-4.072265625 5.3720214551
-4.0625 4.60890197754
-4.052734375 3.85754102447
-4.04296875 3.11785907694
-4.033203125 2.3897768343
-4.0234375 1.67321521416
-4.013671875 0.968095352422
-4.00390625 0.274338603253
-3.994140625 -0.408133460893
-3.984375 -1.07939904928
-3.974609375 -1.73953615291
-3.96484375 -2.38862254447
-3.955078125 -3.02673577842
-3.9453125 -3.65395319089
-3.935546875 -4.27035189977
-3.92578125 -4.87600880465
-3.916015625 -5.47100058685
-3.90625 -6.05540370941
-3.896484375 -6.62929441709
-3.88671875 -7.19274873636
-3.876953125 -7.74584247543
-3.8671875 -8.28865122423
-3.857421875 -8.82125035439
-3.84765625 -9.34371501929
-3.837890625 -9.85612015401
-3.828125 -10.3585404754
-3.818359375 -10.8510504819
-3.80859375 -11.3337244538
-3.798828125 -11.8066364531
-3.7890625 -12.2698603235
-3.779296875 -12.7234696904
-3.76953125 -13.1675379609
-3.759765625 -13.6021383239
-3.75 -14.02734375
-3.740234375 -14.4432269914
-3.73046875 -14.8498605823
-3.720703125 -15.2473168382
-3.7109375 -15.6356678568
-3.701171875 -16.0149855171
-3.69140625 -16.3853414801
-3.681640625 -16.7468071885
-3.671875 -17.0994538665
-3.662109375 -17.4433525202
-3.65234375 -17.7785739375
-3.642578125 -18.1051886878
-3.6328125 -18.4232671224
-3.623046875 -18.7328793742
-3.61328125 -19.0340953579
-3.603515625 -19.3269847699
-3.59375 -19.6116170883
-3.583984375 -19.888061573
-3.57421875 -20.1563872655
-3.564453125 -20.4166629892
-3.5546875 -20.6689573489
-3.544921875 -20.9133387315
-3.53515625 -21.1498753054
-3.525390625 -21.3786350207
-3.515625 -21.5996856093
-3.505859375 -21.813094585
-3.49609375 -22.0189292429
-3.486328125 -22.2172566601
-3.4765625 -22.4081436954
-3.466796875 -22.5916569894
-3.45703125 -22.7678629642
-3.447265625 -22.9368278237
-3.4375 -23.0986175537
-3.427734375 -23.2532979215
-3.41796875 -23.4009344762
-3.408203125 -23.5415925486
-3.3984375 -23.6753372513
-3.388671875 -23.8022334785
-3.37890625 -23.9223459063
-3.369140625 -24.0357389923
-3.359375 -24.1424769759
-3.349609375 -24.2426238784
-3.33984375 -24.3362435026
-3.330078125 -24.423399433
-3.3203125 -24.5041550361
-3.310546875 -24.5785734597
